tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,TechSupport,SeniorCitizen,Dependents,NumServices,Churn
52,98.73,5086.53,One year,Fiber optic,Mailed check,No,0,No,2,0
15,63.96,992.24,One year,DSL,Mailed check,Yes,0,No,1,0
61,40.36,2465.77,Month-to-month,Fiber optic,Credit card,No,0,No,2,1
21,111.35,2249.8,Month-to-month,Fiber optic,Electronic check,Yes,0,No,3,1
24,52.46,1282.19,Month-to-month,Fiber optic,Mailed check,No,1,No,7,1
3,34.1,77.75,Month-to-month,No,Mailed check,No internet service,0,Yes,2,1
22,74.32,1711.64,Month-to-month,No,Mailed check,No,1,Yes,3,1
53,112.38,5936.25,Month-to-month,Fiber optic,Bank transfer,Yes,0,No,1,0
2,18.38,14.17,One year,DSL,Mailed check,No,0,No,2,0
30,41.81,1331.03,Month-to-month,No,Electronic check,No,1,Yes,3,1
38,111.84,4246.83,Two year,Fiber optic,Credit card,Yes,0,Yes,1,0
2,35.11,128.36,Month-to-month,Fiber optic,Bank transfer,No internet service,0,No,6,1
64,29.32,1897.98,Month-to-month,Fiber optic,Credit card,Yes,0,No,3,0
60,75.02,4523.01,One year,DSL,Electronic check,Yes,0,No,4,0
21,104.18,2175.67,Two year,DSL,Bank transfer,No,0,No,3,0
33,65.71,2193.57,Month-to-month,DSL,Bank transfer,Yes,1,No,1,0
58,117.46,6805.9,One year,DSL,Mailed check,No,0,No,7,0
22,85.92,1849.99,Two year,Fiber optic,Credit card,Yes,0,Yes,6,0
49,25.41,1239.75,One year,DSL,Electronic check,No internet service,0,No,5,0
59,117.28,6984.1,Month-to-month,No,Bank transfer,No,0,Yes,4,0
42,58.79,2495.96,Two year,Fiber optic,Bank transfer,No,0,No,2,0
60,46.74,2842.84,One year,Fiber optic,Mailed check,Yes,0,No,4,0
15,73.79,1106.89,One year,DSL,Bank transfer,Yes,0,Yes,1,0
62,48.43,2905.82,One year,Fiber optic,Electronic check,No,0,No,3,0
62,26.65,1590.97,Two year,DSL,Bank transfer,Yes,0,Yes,5,0
47,18.14,838.26,Month-to-month,Fiber optic,Electronic check,No,0,No,1,1
62,62.96,3846.66,Month-to-month,No,Mailed check,No,0,Yes,6,0
